"subject_id","new_key","lakename","county","begin_date_day","begin_date_month","begin_date_year","development","do_below_thermo_ppm","lake_area_ha","max_depth_min_m","temp_surface_min_c","LAT_DD","LONG_DD","url_front","url_back"
58687284,"15-6","HOFFMAN","CHARLEVOIX",18,"August",1941,NA,NA,48.604,6.705,19.6,45.13193,-84.78038,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Charlevoix_Hoffman_SUMM_20191125112552851_0001.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Charlevoix_Hoffman_SUMM_20191125112552851_0002.jpg"
58687285,"15-75","GREENS","CHARLEVOIX",6,"August",1942,NA,NA,40.469,0.914,21.667,45.63332,-85.58343,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Charlevoix_Greens_004_SUMM_0001.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Charlevoix_Greens_004_SUMM_0002.jpg"
58687286,"15-61","ROUND","CHARLEVOIX",28,"July",1959,NA,NA,26.305,18.287,22.222,45.31665,-85.25454,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Charlevoix_Round_004_SUMM_0001.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Charlevoix_Round_004_SUMM_0002.jpg"
58687287,"15-21","SUMM","CHARLEVOIX",15,"July",1955,NA,NA,6879.806,31.088,23.2,45.26665,-85.13343,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Charlevoix_SUMM_Charlevoix2.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Charlevoix_SUMM_Charlevoix2p2.jpg"
58687288,"15-21","SUMM","CHARLEVOIX",6,"August",1915,NA,NA,NA,NA,NA,45.26665,-85.13343,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Charlevoix_SUMM_Charlevoix8.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Charlevoix_SUMM_Charlevoix8p2.jpg"
58687289,"15-21","SUMM","CHARLEVOIX",22,"July",1959,NA,5.9,6985.026,37.184,21.667,45.26665,-85.13343,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Charlevoix_SUMM_Charlevoix3.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Charlevoix_SUMM_Charlevoix3p2.jpg"
58687290,"15-3","THUMB","CHARLEVOIX",16,"August",1941,NA,NA,196.074,46.327,21.1,45.19166,-84.7626,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Charlevoix_Thumb_046_SUMM_0001.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Charlevoix_Thumb_046_SUMM_0002.jpg"
58687291,"15-56","SUSAN","CHARLEVOIX",27,"August",1950,NA,NA,52.61,4.572,17.778,45.3261,-85.18121,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Charlevoix_Susan_008_SUMM_0001.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Charlevoix_Susan_008_SUMM_0002.jpg"
58687292,"15-21","SUMM","CHARLEVOIX",4,"August",1926,NA,NA,NA,NA,NA,45.26665,-85.13343,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Charlevoix_SUMM_Charlevoix8p3.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Charlevoix_SUMM_Charlevoix8p4.jpg"
58687293,"15-25","WALLOON","CHARLEVOIX",11,"July",1945,NA,4.2,NA,NA,19.444,45.27499,-85.0001,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Charlevoix_Walloon_130_SUMM_0001.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Charlevoix_Walloon_130_SUMM_0002.jpg"
58687294,"15-25","WALLOON","CHARLEVOIX",9,"August",1957,NA,5.5,1748.28,30.479,21.111,45.27499,-85.0001,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Charlevoix_Walloon_131_SUMM_0001.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Charlevoix_Walloon_131_SUMM_0002.jpg"
58687295,"16-186","COCHRAN","CHEBOYGAN",3,"July",1945,NA,NA,11.129,3.657,22.778,45.40666,-84.55121,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Cochran_SUMM_041.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Cochran_SUMM_042.jpg"
58687296,"16-144","BLACK","CHEBOYGAN",1,"July",1939,NA,5.08,4099.555,15.239,21.111,45.46666,-84.26676,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Black_SUMM_109.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Black_SUMM_110.jpg"
58687297,"16-193","BURT","CHEBOYGAN",NA,"July",1955,NA,3.08,6758.397,22.249,23.278,45.46666,-84.66676,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Burt_SUMM_217.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Burt_SUMM_218.jpg"
58687298,"16-18","DOG","CHEBOYGAN",15,"August",1932,"on state forest",NA,73.25,1.829,NA,45.28388,-84.39871,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Dog_SUMM_007.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Dog_SUMM_008.jpg"
58687299,"16-186","COCHRAN","CHEBOYGAN",3,"July",1945,NA,NA,11.129,3.657,22.778,45.40666,-84.55121,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Cochran_SUMM_115.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Cochran_SUMM_116.jpg"
58687301,"16-18","DOG","CHEBOYGAN",15,"August",1932,"part of state forest & game refuge",NA,73.25,1.829,NA,45.28388,-84.39871,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Dog_SUMM_009.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Dog_SUMM_010.jpg"
58687303,"16-252","DOUGLAS","CHEBOYGAN",21,"June",1959,NA,0,1373.938,24.383,20,45.5811,-84.69704,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Douglas_SUMM_049.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Douglas_SUMM_050.jpg"
58687304,"16-192","MULLETT","CHEBOYGAN",NA,"July",1956,NA,8.9,6730.069,44.803,18.889,45.5361,-84.51676,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Mullett_219.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Mullett_220.jpg"
58687305,"16-32","HEMLOCK","CHEBOYGAN",28,"July",1932,"none ",2.3,2.428,20,21.111,45.19971,-84.40788,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Hemlock_040.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Hemlock_041.jpg"
58687307,"16-32","HEMLOCK","CHEBOYGAN",28,"July",1932,"none",2.3,2.428,20,21.111,45.19971,-84.40788,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Hemlock_SUMM_040.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Hemlock_SUMM_041.jpg"
58687308,"16-191","ROBERTS","CHEBOYGAN",5,"July",1945,NA,NA,21.651,1.219,22.778,45.40138,-84.55649,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Roberts_SUMM_023.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Roberts_SUMM_024.jpg"
58687309,"16-82","SILVER","CHEBOYGAN",14,"August",1942,NA,15.6,29.543,27.431,21.8,45.26943,-84.63288,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Silver_33N_3W_S11-12_027.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Silver_33N_3W_S11-12_028.jpg"
58687310,"16-14","SILVER","CHEBOYGAN",15,"August",1931,"on ranch. ranch buildings on shore of lake.",NA,61.109,NA,NA,45.20471,-84.31732,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Silver_33N_1E_S33_014.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Silver_33N_1E_S33_015.jpg"
58687311,"16-192","MULLETT","CHEBOYGAN",NA,"July",1956,NA,8.9,6730.069,44.803,18.889,45.5361,-84.51676,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Mullett_SUMM_219.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Mullett_SUMM_220.jpg"
58687312,"16-191","ROBERTS","CHEBOYGAN",5,"July",1945,NA,NA,21.651,1.219,22.778,45.40138,-84.55649,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Roberts_023.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Roberts_024.jpg"
58687313,"16-82","SILVER","CHEBOYGAN",14,"August",1942,NA,2.9,29.543,27.431,21.111,45.26943,-84.63288,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Silver_33N_3W_S11-12_031.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Silver_33N_3W_S11-12_032.jpg"
58687314,"16-14","SILVER","CHEBOYGAN",15,"August",1931,"on ranch. ranch buildings on shore of lake.",NA,61.109,NA,NA,45.20471,-84.31732,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Silver33N_1E_S33_SUMM_014.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Silver33N_1E_S33_SUMM_015.jpg"
58687315,"16-82","SILVER","CHEBOYGAN",14,"August",1942,NA,15.6,29.543,27.431,21.8,45.26943,-84.63288,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Silver_33N_3W_S11-12_029.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Silver_33N_3W_S11-12_030.jpg"
58687316,"16-82","SILVER","CHEBOYGAN",14,"August",1942,NA,15.6,29.543,27.431,21.8,45.26943,-84.63288,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Silver33N_3W_S11-12_SUMM_027.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Silver33N_3W_S11-12_SUMM_028.jpg"
